DepMap_ID,cell_line_name,stripped_cell_line_name,CCLE_Name,alias,COSMICID,sex,source,RRID,WTSI_Master_Cell_ID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype,default_growth_pattern,model_manipulation,model_manipulation_details,patient_id,parent_depmap_id,Cellosaurus_NCIt_disease,Cellosaurus_NCIt_id,Cellosaurus_issues
ACH-000288,BT-549,BT549,BT549_BREAST,,905951.0,Female,ATCC,CVCL_1092,1835.0,breast,Primary,Breast Cancer,Breast Ductal Carcinoma,72,SIDM00122,,breast,breast_ductal_carcinoma,ERneg_HER2neg,basal_B,2D: adherent,,,PT-hgWgpg,,Invasive breast carcinoma of no special type,C4194,
ACH-000467,HCC-56,HCC56,HCC56_LARGE_INTESTINE,,1290907.0,,HSRRB,CVCL_2917,1036.0,large_intestine,,Colon/Colorectal Cancer,Adenocarcinoma,,SIDM00597,,colorectal,colorectal_adenocarcinoma,,,,,,PT-2RDjdA,,Colon adenocarcinoma,C4349,
ACH-002287,NCI-H630,NCIH630,NCIH630_LARGE_INTESTINE,,908482.0,,Sanger,CVCL_1572,338.0,large_intestine,,Colon/Colorectal Cancer,Colorectal Carcinoma,,,,colorectal,colorectal_adenocarcinoma,,,,,,PT-3ANo8s,,,,Contaminated. The contaminant is not known. Seems to be a mixture of cell lines. Originally said to originate from a 60 year old male patient with a rectal carcinoma.
ACH-000001,NIH:OVCAR-3,NIHOVCAR3,NIHOVCAR3_OVARY,OVCAR3,905933.0,Female,ATCC,CVCL_0465,2201.0,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",60,SIDM00105,,ovary,ovary_adenocarcinoma,high_grade_serous,,2D: adherent,,,PT-gj46wT,,High grade ovarian serous adenocarcinoma,C105555,
ACH-000002,HL-60,HL60,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,905938.0,Female,ATCC,CVCL_0002,55.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)",36,SIDM00829,,blood,AML,M3,,2D: suspension,,,PT-5qa3uk,,Adult acute myeloid leukemia,C9154,
ACH-000004,HEL,HEL,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,907053.0,Male,DSMZ,CVCL_0001,783.0,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",30,SIDM00594,,blood,AML,M6,,2D: suspension,,,PT-q4K2cp,,Erythroleukemia,C7152,
ACH-000006,MONO-MAC-6,MONOMAC6,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908148.0,Male,DSMZ,CVCL_1426,2167.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",64,SIDM01023,,blood,AML,M5,,2D: adherent,,,PT-ej13Dz,,Adult acute monocytic leukemia,C8263,
ACH-000007,LS513,LS513,LS513_LARGE_INTESTINE,,907795.0,Male,ATCC,CVCL_1386,569.0,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,63,SIDM00677,,colorectal,colorectal_adenocarcinoma,,,2D: adherent,,,PT-NOXwpH,,Cecum adenocarcinoma,C5543,
ACH-000008,A101D,A101D,A101D_SKIN,,910921.0,Male,ATCC,CVCL_1057,1806.0,skin,,Skin Cancer,Melanoma,56,SIDM00801,,skin,melanoma,,,,,,PT-fp8PeY,,Melanoma,C3224,
ACH-000009,C2BBe1,C2BBE1,C2BBE1_LARGE_INTESTINE,,910700.0,Male,ATCC,CVCL_1096,2104.0,Colon,Primary,Colon/Colorectal Cancer,Adenocarcinoma,72,SIDM01233,,colorectal,colorectal_adenocarcinoma,,,2D: adherent,,,PT-puKIyc,ACH-000003,Colon adenocarcinoma,C4349,
ACH-000012,HCC827,HCC827,HCC827_LUNG,,1240146.0,Female,ATCC,CVCL_2063,354.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",39,SIDM01067,,lung,NSCLC,NSCLC_adenocarcinoma,,2D: adherent,,,PT-NdspH5,,Lung adenocarcinoma,C3512,
ACH-000015,NCI-H1581,NCIH1581,NCIH1581_LUNG,NCI-H2077,908471.0,Male,ATCC,CVCL_1479,1237.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",44,SIDM00748,,lung,NSCLC,NSCLC_large_cell,,2D: mixed adherent and suspension,,,PT-ffwajI,,Lung large cell carcinoma,C4450,
ACH-000018,T24,T24,T24_URINARY_TRACT,,724812.0,Female,ATCC,CVCL_0554,1455.0,urinary_tract,Primary,Bladder Cancer,Carcinoma,82,SIDM01184,,urinary_tract,bladder_carcinoma,,,2D: adherent,,,PT-Mi0cKz,,Bladder carcinoma,C4912,
ACH-000019,MCF7,MCF7,MCF7_BREAST,,905946.0,Female,ATCC,CVCL_0031,588.0,pleural_effusion,Metastasis,Breast Cancer,Carcinoma,69,SIDM00148,,breast,breast_carcinoma,ERpos_HER2neg,luminal,2D: adherent,,,PT-viJKnw,,Invasive breast carcinoma of no special type,C4194,
ACH-000020,MHH-CALL-2,MHHCALL2,MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,908132.0,Female,DSMZ,CVCL_1409,1906.0,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",15,SIDM00331,,blood,ALL,b_cell,,,,,PT-GMWtlF,,Childhood B acute lymphoblastic leukemia,C9140,
ACH-000021,NCI-H1693,NCIH1693,NCIH1693_LUNG,,687802.0,Female,ATCC,CVCL_1488,634.0,lymph_node,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",55,SIDM00742,,lung,NSCLC,NSCLC_adenocarcinoma,,2D: adherent,,,PT-9p1WQv,,Lung adenocarcinoma,C3512,
ACH-000023,PA-TU-8988T,PATU8988T,PATU8988T_PANCREAS,,1240201.0,Female,DSMZ,CVCL_1847,1242.0,liver,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",64,SIDM00453,,pancreas,exocrine,exocrine_adenocarcinoma,,2D: adherent,,,PT-lVglGI,,Pancreatic adenocarcinoma,C8294,
ACH-000024,OPM-2,OPM2,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909249.0,Female,DSMZ,CVCL_1625,112.0,haematopoietic_and_lymphoid_tissue,Primary,Myeloma,Multiple Myeloma,56,SIDM00457,,plasma_cell,multiple_myeloma,,,2D: suspension,,,PT-codP7n,,Plasma cell myeloma,C3242,
ACH-000030,PC-14,PC14,PC14_LUNG,,753608.0,Male,RIKEN,CVCL_1640,198.0,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",45,SIDM00237,,lung,NSCLC,NSCLC_adenocarcinoma,,2D: adherent,,,PT-nDRyc6,ACH-000779,Lung adenocarcinoma,C3512,TP53 mutation indicated incorrectly as being at c.742C>T in PubMed=10536175 and PubMed=20557307
ACH-000035,NCI-H1650,NCIH1650,NCIH1650_LUNG,,687800.0,Male,ATCC,CVCL_1483,1548.0,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",27,SIDM00745,,lung,NSCLC,NSCLC_adenocarcinoma,,2D: adherent,,,PT-5LVIPg,,Minimally invasive lung adenocarcinoma,C2923,
ACH-000038,EHEB,EHEB,EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,906854.0,Female,DSMZ,CVCL_1194,39.0,haematopoietic_and_lymphoid_tissue,,Lymphoma,B-cell,69,SIDM01049,,lymphocyte,lymphoma_unspecified,b_cell,,2D: suspension,,,PT-LoXnDo,,,,Probably misclassified. Originally thought to be a leukemia cell line but is probably a B-lymphoblastoid cell line (PubMed=12592342).
ACH-000040,U-118 MG,U118MG,U118MG_CENTRAL_NERVOUS_SYSTEM,,687588.0,Male,ATCC,CVCL_0633,7.0,central_nervous_system,Primary,Brain Cancer,Glioma,47,SIDM01193,SNP fingerprinting confirms that this line is an U-138 MG derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.,central_nervous_system,glioma,astrocytoma,,2D: adherent,,,PT-5XnRfQ,ACH-001214,Astrocytoma,C60781,Contaminated. Shown to be a U-138MG derivative (PubMed=20143388).
ACH-000042,Panc 02.03,PANC0203,PANC0203_PANCREAS,,1298475.0,Female,ATCC,CVCL_1633,1838.0,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",70,SIDM01139,,pancreas,exocrine,exocrine_adenocarcinoma,,2D: adherent,,,PT-QOpMVz,,Pancreatic adenocarcinoma,C8294,
ACH-000045,MV4;11,MV411,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV-4-11,908156.0,Male,ATCC,CVCL_0064,133.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,Acute Myelogenous Leukemia (AML),10,SIDM00657,,blood,AML,,,2D: suspension,,,PT-zb7Sx0,,Childhood acute monocytic leukemia,C9163,
ACH-000046,ACHN,ACHN,ACHN_KIDNEY,,905950.0,Male,ATCC,CVCL_1067,371.0,pleural_effusion,Metastasis,Kidney Cancer,Renal Cell Carcinoma,22,SIDM00123,,kidney,renal_cell_carcinoma,,,2D: adherent,,,PT-zV8Sol,,Papillary renal cell carcinoma,C6975,
ACH-000047,GCIY,GCIY,GCIY_STOMACH,,906869.0,Female,RIKEN,CVCL_1228,1414.0,ascites,Metastasis,Gastric Cancer,Adenocarcinoma,39,SIDM00274,,gastric,gastric_adenocarcinoma,,,,,,PT-UVwT4j,,Gastric adenocarcinoma,C4004,
