identifier,name,M
DB00001,Lepirudin,1
DB00002,Cetuximab,8
DB00003,"Dornase alfa",0
DB00004,"Denileukin diftitox",3
DB00005,Etanercept,11
DB00006,Bivalirudin,1
DB00007,Leuprolide,1
DB00008,"Peginterferon alfa-2a",2
DB00009,Alteplase,4
DB00010,Sermorelin,1
DB00011,"Interferon alfa-n1",2
DB00012,"Darbepoetin alfa",1
DB00013,Urokinase,8
DB00014,Goserelin,2
DB00015,Reteplase,3
DB00016,Erythropoietin,1
DB00017,"Salmon calcitonin",1
DB00018,"Interferon alfa-n3",2
DB00019,Pegfilgrastim,1
DB00020,Sargramostim,5
DB00022,"Peginterferon alfa-2b",2
DB00023,"Asparaginase Escherichia coli",0
DB00024,"Thyrotropin alfa",1
DB00025,"Antihemophilic factor, human recombinant",11
DB00026,Anakinra,1
DB00028,"Human immunoglobulin G",11
DB00029,Anistreplase,3
DB00030,"Insulin human",4
DB00031,Tenecteplase,11
DB00032,Menotropins,2
DB00033,"Interferon gamma-1b",2
DB00034,"Interferon alfa-2a, Recombinant",2
DB00035,Desmopressin,3
DB00036,"Coagulation factor VIIa Recombinant Human",5
DB00038,Oprelvekin,1
DB00039,Palifermin,3
DB00040,Glucagon,3
DB00041,Aldesleukin,3
DB00042,"Botulinum Toxin Type B",3
DB00043,Omalizumab,2
DB00044,"Lutropin alfa",1
DB00045,"Lyme disease vaccine (recombinant OspA)",1
DB00046,"Insulin lispro",2
DB00047,"Insulin glargine",2
DB00048,"Collagenase clostridium histolyticum",3
DB00049,Rasburicase,0
DB00050,Cetrorelix,2
DB00051,Adalimumab,1
DB00052,Somatotropin,2
DB00053,Imiglucerase,0
DB00054,Abciximab,5
DB00055,"Drotrecogin alfa",10
DB00056,"Gemtuzumab ozogamicin",4
DB00057,"Indium In-111 satumomab pendetide",0
DB00058,"Alpha-1-proteinase inhibitor",1
DB00059,Pegaspargase,0
DB00060,"Interferon beta-1a",2
DB00061,Pegademase,1
DB00062,"Albumin human",0
DB00063,Eptifibatide,1
DB00065,Infliximab,1
DB00066,Follitropin,1
DB00067,Vasopressin,3
DB00068,"Interferon beta-1b",2
DB00069,"Interferon alfacon-1",2
DB00070,"Hyaluronidase (ovine)",1
DB00071,"Insulin pork",14
DB00072,Trastuzumab,1
DB00073,Rituximab,1
DB00074,Basiliximab,2
DB00075,Muromonab,5
DB00076,"Digoxin Immune Fab (Ovine)",0
DB00078,"Ibritumomab tiuxetan",1
DB00080,Daptomycin,0
DB00081,Tositumomab,2
DB00082,Pegvisomant,1
DB00083,"Botulinum toxin type A",2
DB00085,Pancrelipase,0
DB00086,Streptokinase,2
DB00087,Alemtuzumab,7
DB00088,Alglucerase,0
DB00089,"Capromab pendetide",1
DB00090,Laronidase,0
DB00091,Cyclosporine,4
DB00092,Alefacept,3
DB00093,Felypressin,1
DB00094,Urofollitropin,1
DB00095,Efalizumab,2
DB00097,"Choriogonadotropin alfa",2
DB00098,"Antithymocyte immunoglobulin (rabbit)",9
DB00099,Filgrastim,2
DB00100,"Coagulation Factor IX (Recombinant)",7
DB00102,Becaplermin,3
DB00103,"Agalsidase beta",0
DB00104,Octreotide,0
DB00105,"Interferon alfa-2b",2
DB00106,Abarelix,1
DB00107,Oxytocin,2
DB00108,Natalizumab,4
DB00109,Enfuvirtide,0
DB00110,Palivizumab,9
DB00111,Daclizumab,12
DB00112,Bevacizumab,9
DB00113,"Technetium Tc-99m arcitumomab",1
DB00114,"Pyridoxal phosphate",49
DB00115,Cyanocobalamin,6
DB00116,"Tetrahydrofolic acid",11
DB00117,Histidine,4
DB00118,Ademetionine,8
DB00119,"Pyruvic acid",14
DB00120,Phenylalanine,7
DB00121,Biotin,8
DB00122,Choline,8
DB00123,L-Lysine,5
DB00125,Arginine,9
DB00126,"Ascorbic acid",23
DB00127,Spermine,6
DB00128,"Aspartic acid",19
DB00129,Ornithine,10
DB00130,L-Glutamine,3
DB00131,"Adenosine phosphate",18
DB00132,"alpha-Linolenic acid",11
DB00133,Serine,7
DB00134,Methionine,5
DB00135,Tyrosine,4
DB00136,Calcitriol,2
DB00138,Cystine,2
DB00139,"Succinic acid",2
DB00140,Riboflavin,3
DB00141,N-Acetylglucosamine,6
DB00142,"Glutamic acid",61
DB00143,Glutathione,47
DB00144,"Phosphatidyl serine",10
DB00145,Glycine,24
DB00146,Calcifediol,1
DB00147,Pyridoxal,1
