obo_id,label,M
EFO:0000095,"chronic lymphocytic leukemia",1
EFO:0000103,"obsolete_Becker's muscular dystrophy",1
EFO:0000174,"Ewing sarcoma",5
EFO:0000178,"gastric carcinoma",7
EFO:0000180,"HIV-1 infection",4
EFO:0000181,"head and neck squamous cell carcinoma",5
EFO:0000182,"hepatocellular carcinoma",6
EFO:0000183,"Hodgkins lymphoma",1
EFO:0000187,"Kaposi's sarcoma cell",1
EFO:0000191,"MALT lymphoma",1
EFO:0000192,"obsolete_MELAS syndrome",4
EFO:0000195,"metabolic syndrome",1
EFO:0000198,"myelodysplastic syndrome",5
EFO:0000204,"obsolete_Scott syndrome",1
EFO:0000209,"T-cell acute lymphoblastic leukemia",0
EFO:0000212,"obsolete_Wilms tumor",1
EFO:0000218,"acute erythroleukemia",1
EFO:0000220,"acute lymphoblastic leukemia",3
EFO:0000221,"acute monocytic leukemia",0
EFO:0000222,"acute myeloid leukemia",11
EFO:0000224,"acute promyelocytic leukemia",1
EFO:0000239,"adrenal gland pheochromocytoma",8
EFO:0000247,"obsolete_Aicardi syndrome",0
EFO:0000248,"alveolar rhabdomyosarcoma",3
EFO:0000249,"Alzheimer's disease",8
EFO:0000253,"amyotrophic lateral sclerosis",12
EFO:0000266,"aortic stenosis",1
EFO:0000270,asthma,10
EFO:0000274,"atopic eczema",3
EFO:0000275,"atrial fibrillation",3
EFO:0000279,azoospermia,11
EFO:0000280,"Barrett's esophagus",4
EFO:0000284,"benign prostatic hyperplasia",0
EFO:0000289,"bipolar disorder",1
EFO:0000292,"bladder carcinoma",3
EFO:0000305,"breast carcinoma",15
EFO:0000309,"Burkitts lymphoma",1
EFO:0000326,"central nervous system cancer",1
EFO:0000333,chondrosarcoma,1
EFO:0000339,"chronic myelogenous leukemia",3
EFO:0000341,"chronic obstructive pulmonary disease",0
EFO:0000342,"chronic pancreatitis",3
EFO:0000349,"clear cell renal carcinoma",6
EFO:0000365,"colorectal adenocarcinoma",20
EFO:0000367,"obsolete_common variable immunodeficiency",1
EFO:0000378,"coronary artery disease",2
EFO:0000384,"Crohn's disease",1
EFO:0000389,"cutaneous melanoma",1
EFO:0000390,"obsolete_cystic fibrosis",1
EFO:0000400,"diabetes mellitus",1
EFO:0000401,"diabetic nephropathy",3
EFO:0000407,"dilated cardiomyopathy",3
EFO:0000429,"obsolete_Duchenne muscular dystrophy",2
EFO:0000437,"embryonal rhabdomyosarcoma",2
EFO:0000463,"obsolete_Emery-Dreifuss muscular dystrophy",1
EFO:0000478,"esophageal adenocarcinoma",0
EFO:0000479,"essential thrombocythemia",3
EFO:0000491,"obsolete_facioscapulohumeral muscular dystrophy",2
EFO:0000492,"obsolete_familial combined hyperlipidemia",1
EFO:0000497,fibromatosis,1
EFO:0000501,"follicular thyroid carcinoma",7
EFO:0000505,"obsolete_gastrointestinal stromal tumor",2
EFO:0000529,"obsolete_hereditary spastic paraplegia",0
EFO:0000533,"obsolete_Huntington's disease",1
EFO:0000537,hypertension,2
EFO:0000538,"hypertrophic cardiomyopathy",17
EFO:0000540,"immune system disease",3
EFO:0000557,"juvenile dermatomyositis",0
EFO:0000558,"Kaposi's sarcoma",1
EFO:0000564,leiomyosarcoma,1
EFO:0000571,"lung adenocarcinoma",8
EFO:0000574,lymphoma,2
EFO:0000588,mesothelioma,4
EFO:0000612,"myocardial infarction",1
EFO:0000613,"myxoid liposarcoma",1
EFO:0000614,"narcolepsy with cataplexy",2
EFO:0000621,neuroblastoma,3
EFO:0000625,nevus,2
EFO:0000632,oligodendroglioma,9
EFO:0000637,osteosarcoma,2
EFO:0000640,"papillary renal cell carcinoma",1
EFO:0000641,"papillary thyroid carcinoma",1
EFO:0000649,periodontitis,1
EFO:0000660,"polycystic ovary syndrome",0
EFO:0000666,"portal hypertension",1
EFO:0000668,preeclampsia,2
EFO:0000671,"obsolete_progeria syndrome",1
EFO:0000673,"prostate adenocarcinoma",10
EFO:0000676,psoriasis,5
EFO:0000681,"renal cell carcinoma",6
EFO:0000685,"rheumatoid arthritis",12
EFO:0000690,obsolete_sarcoidosis,1
EFO:0000692,schizophrenia,16
EFO:0000693,schwannoma,2
EFO:0000697,"obsolete_sickle cell disease",1
EFO:0000699,"Sjogren syndrome",0
EFO:0000702,"small cell lung carcinoma",0
EFO:0000706,spondyloarthropathy,1
EFO:0000712,stroke,8
EFO:0000729,"ulcerative colitis",1
EFO:0000731,"uterine fibroid",2
EFO:0000734,"vitamin B12 deficiency",0
EFO:0000756,melanoma,1
EFO:0000758,"obsolete_limb-girdle muscular dystrophy",1
EFO:0000759,lipoma,0
