kegg_pathwayid,kegg_pathwayname,kegg_diseaseid,kegg_diseasename
hsa00010,"Glycolysis / Gluconeogenesis",H00069,"Glycogen storage disease"
hsa00500,"Starch and sucrose metabolism",H00069,"Glycogen storage disease"
hsa04910,"Insulin signaling pathway",H00069,"Glycogen storage disease"
hsa00010,"Glycolysis / Gluconeogenesis",H00071,"Hereditary fructose intolerance"
hsa00010,"Glycolysis / Gluconeogenesis",H00072,"Pyruvate dehydrogenase complex deficiency"
hsa00620,"Pyruvate metabolism",H00072,"Pyruvate dehydrogenase complex deficiency"
hsa00010,"Glycolysis / Gluconeogenesis",H00114,"Fructose-1,6-bisphosphatase deficiency"
hsa00010,"Glycolysis / Gluconeogenesis",H00664,"Anemia due to disorders of glycolytic enzymes"
hsa00010,"Glycolysis / Gluconeogenesis",H01071,"Acute alcohol sensitivity"
hsa00010,"Glycolysis / Gluconeogenesis",H01096,"Pyruvate kinase deficiency"
hsa00230,"Purine metabolism",H01096,"Pyruvate kinase deficiency"
hsa00620,"Pyruvate metabolism",H01096,"Pyruvate kinase deficiency"
hsa00010,"Glycolysis / Gluconeogenesis",H01267,"Familial hyperinsulinemic hypoglycemia"
hsa00071,"Fatty acid degradation",H01267,"Familial hyperinsulinemic hypoglycemia"
hsa00471,"D-Glutamine and D-glutamate metabolism",H01267,"Familial hyperinsulinemic hypoglycemia"
hsa02010,"ABC transporters",H01267,"Familial hyperinsulinemic hypoglycemia"
hsa04910,"Insulin signaling pathway",H01267,"Familial hyperinsulinemic hypoglycemia"
hsa00010,"Glycolysis / Gluconeogenesis",H01760,"Hepatic glycogen storage disease"
hsa00500,"Starch and sucrose metabolism",H01760,"Hepatic glycogen storage disease"
hsa04910,"Insulin signaling pathway",H01760,"Hepatic glycogen storage disease"
hsa00010,"Glycolysis / Gluconeogenesis",H01762,"Muscle glycogen storage disease"
hsa00500,"Starch and sucrose metabolism",H01762,"Muscle glycogen storage disease"
hsa04142,Lysosome,H01762,"Muscle glycogen storage disease"
hsa04910,"Insulin signaling pathway",H01762,"Muscle glycogen storage disease"
hsa04922,"Glucagon signaling pathway",H01762,"Muscle glycogen storage disease"
hsa00010,"Glycolysis / Gluconeogenesis",H01939,"Glycogen storage disease type I"
hsa04973,"Carbohydrate digestion and absorption",H01939,"Glycogen storage disease type I"
hsa00010,"Glycolysis / Gluconeogenesis",H01945,"Glycogen storage disease type VII"
hsa00010,"Glycolysis / Gluconeogenesis",H01946,"Glycogen storage disease type XI"
hsa00620,"Pyruvate metabolism",H01946,"Glycogen storage disease type XI"
