UniProt,Symbol,Expression Source,Expression Tissue,Expression Numeric Value,Expression Uberon ID,Expression Soure ID
P32929,CTH,HPM Protein,Adult Adrenal,5.273462,UBERON:0002369,NP_714964.2
P32929,CTH,HPM Protein,Adult Colon,4.621713,UBERON:0001155,NP_714964.2
P32929,CTH,HPM Protein,Adult Esophagus,0.0,UBERON:0001043,NP_714964.2
P32929,CTH,HPM Protein,Adult Frontal Cortex,3.83931,UBERON:0001870,NP_714964.2
P32929,CTH,HPM Protein,Adult Gallbladder,5.734159,UBERON:0002110,NP_714964.2
P32929,CTH,HPM Protein,Adult Heart,0.0,UBERON:0000948,NP_714964.2
P32929,CTH,HPM Protein,Adult Kidney,18.906955,UBERON:0002113,NP_714964.2
P32929,CTH,HPM Protein,Adult Liver,112.106266,UBERON:0002107,NP_714964.2
P32929,CTH,HPM Protein,Adult Lung,0.0,UBERON:0002048,NP_714964.2
P32929,CTH,HPM Protein,Adult Ovary,7.772405,UBERON:0000992,NP_714964.2
P32929,CTH,HPM Protein,Adult Pancreas,10.201055,UBERON:0001264,NP_714964.2
P32929,CTH,HPM Protein,Adult Prostate,4.589872,UBERON:0002367,NP_714964.2
P32929,CTH,HPM Protein,Adult Rectum,3.257923,UBERON:0001052,NP_714964.2
P32929,CTH,HPM Protein,Adult Retina,15.208006,UBERON:0000966,NP_714964.2
P32929,CTH,HPM Protein,Adult Spinal Cord,3.506533,UBERON:0002240,NP_714964.2
P32929,CTH,HPM Protein,Adult Testis,16.200366,UBERON:0000473,NP_714964.2
P32929,CTH,HPM Protein,Adult Urinary Bladder,0.0,UBERON:0001255,NP_714964.2
P32929,CTH,HPM Protein,B Cells,0.0,,NP_714964.2
P32929,CTH,HPM Protein,Fetal Brain,4.630691,UBERON:0000955,NP_714964.2
P32929,CTH,HPM Protein,Fetal Gut,1.697088,UBERON:0007026,NP_714964.2
P32929,CTH,HPM Protein,Placenta,0.0,UBERON:0001987,NP_714964.2
P32929,CTH,HPA Protein,adipose tissue - adipocytes,,UBERON:0001013,ENSG00000116761
P32929,CTH,HPA Protein,appendix - glandular cells,,UBERON:0001154,ENSG00000116761
P32929,CTH,HPA Protein,bone marrow - hematopoietic cells,,UBERON:0002371,ENSG00000116761
P32929,CTH,HPA Protein,breast - adipocytes,,UBERON:0000310,ENSG00000116761
P32929,CTH,HPA Protein,bronchus - respiratory epithelial cells,,UBERON:0002185,ENSG00000116761
P32929,CTH,HPA Protein,caudate - glial cells,,UBERON:0001873,ENSG00000116761
P32929,CTH,HPA Protein,cerebellum - Bergmann glia - cytoplasm/membrane,,UBERON:0002037,ENSG00000116761
P32929,CTH,HPA Protein,cerebral cortex - endothelial cells,,UBERON:0000956,ENSG00000116761
P32929,CTH,HPA Protein,cervix - glandular cells,,UBERON:0000002,ENSG00000116761
P32929,CTH,HPA Protein,duodenum - glandular cells,,UBERON:0002114,ENSG00000116761
P32929,CTH,HPA Protein,endometrium 1 - cells in endometrial stroma,,UBERON:0002337,ENSG00000116761
P32929,CTH,HPA Protein,endometrium 1 - glandular cells,,UBERON:0012276,ENSG00000116761
P32929,CTH,HPA Protein,epididymis - glandular cells,,UBERON:0001301,ENSG00000116761
P32929,CTH,HPA Protein,esophagus - squamous epithelial cells,,UBERON:0006920,ENSG00000116761
P32929,CTH,HPA Protein,fallopian tube - glandular cells,,UBERON:0003889,ENSG00000116761
P32929,CTH,HPA Protein,heart muscle - cardiomyocytes,,UBERON:0001133,ENSG00000116761
P32929,CTH,HPA Protein,hippocampus - glial cells,,UBERON:0002310,ENSG00000116761
P32929,CTH,HPA Protein,kidney - cells in glomeruli,,UBERON:0000074,ENSG00000116761
P32929,CTH,HPA Protein,kidney - cells in tubules,,UBERON:0001231,ENSG00000116761
P32929,CTH,HPA Protein,lymph node - germinal center cells,,UBERON:0000029,ENSG00000116761
P32929,CTH,HPA Protein,nasopharynx - respiratory epithelial cells,,UBERON:0001728,ENSG00000116761
P32929,CTH,HPA Protein,oral mucosa - squamous epithelial cells,,UBERON:0002424,ENSG00000116761
P32929,CTH,HPA Protein,ovary - ovarian stroma cells,,UBERON:0006960,ENSG00000116761
P32929,CTH,HPA Protein,parathyroid gland - glandular cells,,UBERON:0001132,ENSG00000116761
P32929,CTH,HPA Protein,salivary gland - glandular cells,,UBERON:0001044,ENSG00000116761
P32929,CTH,HPA Protein,seminal vesicle - glandular cells,,UBERON:0000998,ENSG00000116761
P32929,CTH,HPA Protein,skeletal muscle - myocytes,,UBERON:0001134,ENSG00000116761
P32929,CTH,HPA Protein,skin 1 - fibroblasts,,CL:0002620,ENSG00000116761
P32929,CTH,HPA Protein,small intestine - glandular cells,,UBERON:0002108,ENSG00000116761
P32929,CTH,HPA Protein,smooth muscle - smooth muscle cells,,UBERON:0001135,ENSG00000116761
P32929,CTH,HPA Protein,soft tissue 1 - fibroblasts,,CL:0000057,ENSG00000116761
P32929,CTH,HPA Protein,soft tissue 1 - peripheral nerve,,UBERON:0001021,ENSG00000116761
P32929,CTH,HPA Protein,spleen - cells in red pulp,,UBERON:0001250,ENSG00000116761
P32929,CTH,HPA Protein,spleen - cells in white pulp,,UBERON:0001959,ENSG00000116761
P32929,CTH,HPA Protein,stomach 1 - glandular cells,,CL:0002659,ENSG00000116761
P32929,CTH,HPA Protein,testis - Leydig cells,,UBERON:0005212,ENSG00000116761
P32929,CTH,HPA Protein,thyroid gland - glandular cells,,UBERON:0002046,ENSG00000116761
P32929,CTH,HPA Protein,tonsil - germinal center cells,,UBERON:0002372,ENSG00000116761
P32929,CTH,HPA Protein,vagina - squamous epithelial cells,,UBERON:0000996,ENSG00000116761
P32929,CTH,HPA RNA,amygdala,2.6,UBERON:0001876,ENSG00000116761
P32929,CTH,HPA RNA,angular gyrus,2.7,UBERON:0002686,ENSG00000116761
P32929,CTH,HPA RNA,"anterior cingulate cortex, supragenual-dorsal",3.2,UBERON:0009835,ENSG00000116761
P32929,CTH,HPA RNA,"anterior cingulate gyrus, pregenual-dorsal",2.8,UBERON:0002756,ENSG00000116761
P32929,CTH,HPA RNA,"anterior cochlear nucleus, ventral",2.2,UBERON:0002830,ENSG00000116761
P32929,CTH,HPA RNA,anterior funiculus (white matter),2.4,UBERON:0002180,ENSG00000116761
P32929,CTH,HPA RNA,"anterior insular cortex, dorsal",3.3,UBERON:0034891,ENSG00000116761
P32929,CTH,HPA RNA,"anterior thalamic nucleus, ventral",2.3,UBERON:0002637,ENSG00000116761
P32929,CTH,HPA RNA,"area parastriata, inferior",2.5,UBERON:0014370,ENSG00000116761
P32929,CTH,HPA RNA,area postrema,2.6,UBERON:0002162,ENSG00000116761
P32929,CTH,HPA RNA,area striata,3.5,UBERON:0002436,ENSG00000116761
P32929,CTH,HPA RNA,centromedial thalamic nucleus,2.5,UBERON:0001923,ENSG00000116761
P32929,CTH,HPA RNA,cerebellar cortex,3.3,UBERON:0002129,ENSG00000116761
P32929,CTH,HPA RNA,cerebellar nuclei,2.4,UBERON:0002130,ENSG00000116761
P32929,CTH,HPA RNA,cerebellar white matter,2.3,UBERON:0002317,ENSG00000116761
P32929,CTH,HPA RNA,"cervical spinal cord, central gray",2.2,UBERON:0002726,ENSG00000116761
P32929,CTH,HPA RNA,choroid plexus,3.9,UBERON:0001886,ENSG00000116761
P32929,CTH,HPA RNA,claustrum,2.3,UBERON:0002023,ENSG00000116761
P32929,CTH,HPA RNA,"corpus callosum, genu (white matter)",2.6,UBERON:0002336,ENSG00000116761
P32929,CTH,HPA RNA,corticomedial amygdala,2.8,UBERON:0006108,ENSG00000116761
P32929,CTH,HPA RNA,cuneate nuclei,2.3,UBERON:0002045,ENSG00000116761
P32929,CTH,HPA RNA,cuneiform nucleus,2.3,UBERON:0002696,ENSG00000116761
P32929,CTH,HPA RNA,dentate gyrus,2.5,UBERON:0001885,ENSG00000116761
P32929,CTH,HPA RNA,dorsal cochlear nucleus,2.5,UBERON:0002829,ENSG00000116761
P32929,CTH,HPA RNA,dorsal funiculus (white matter),2.8,UBERON:0002258,ENSG00000116761
P32929,CTH,HPA RNA,dorsal medullary reticular nucleus,2.6,UBERON:0002559,ENSG00000116761
P32929,CTH,HPA RNA,dorsal motor vagal complex,2.6,UBERON:0002870,ENSG00000116761
P32929,CTH,HPA RNA,dorsal raphe nucleus,2.7,UBERON:0002043,ENSG00000116761
P32929,CTH,HPA RNA,dorsal tegmental nucleus,2.9,UBERON:0002143,ENSG00000116761
P32929,CTH,HPA RNA,dorsolateral prefrontal cortex,3.3,UBERON:0009834,ENSG00000116761
P32929,CTH,HPA RNA,dorsolateral tegmental area,2.7,UBERON:0001943,ENSG00000116761
P32929,CTH,HPA RNA,dorsomedial nucleus,3.1,UBERON:0001934,ENSG00000116761
P32929,CTH,HPA RNA,dorsomedial prefrontal cortex,2.5,UBERON:0000451,ENSG00000116761
P32929,CTH,HPA RNA,endometrium,2.0,UBERON:0001295,ENSG00000116761
P32929,CTH,HPA RNA,entorhinal gyrus,2.6,UBERON:0002728,ENSG00000116761
P32929,CTH,HPA RNA,flocculonodular lobe,3.0,UBERON:0003012,ENSG00000116761
P32929,CTH,HPA RNA,frontal operculum,3.1,UBERON:0002947,ENSG00000116761
P32929,CTH,HPA RNA,frontomarginal cortex,3.7,UBERON:0014544,ENSG00000116761
P32929,CTH,HPA RNA,fusiform gyrus,3.0,UBERON:0002766,ENSG00000116761
P32929,CTH,HPA RNA,"globus pallidus, externus",2.5,UBERON:0001875,ENSG00000116761
P32929,CTH,HPA RNA,gyrus rectus,4.0,UBERON:0004671,ENSG00000116761
P32929,CTH,HPA RNA,habenula,2.6,UBERON:0001904,ENSG00000116761
P32929,CTH,HPA RNA,hippocampus,2.8,UBERON:0002421,ENSG00000116761
P32929,CTH,HPA RNA,"hippocampus, CA1",2.6,UBERON:0003881,ENSG00000116761
P32929,CTH,HPA RNA,"hippocampus, CA2",2.9,UBERON:0003882,ENSG00000116761
P32929,CTH,HPA RNA,"hippocampus, CA3",2.7,UBERON:0003883,ENSG00000116761
P32929,CTH,HPA RNA,inferior colliculus,2.7,UBERON:0001946,ENSG00000116761
P32929,CTH,HPA RNA,"inferior frontal gyrus, opercular",2.9,UBERON:0002998,ENSG00000116761
P32929,CTH,HPA RNA,inferior olive,2.1,UBERON:0002127,ENSG00000116761
P32929,CTH,HPA RNA,inferior parietal lobule,3.3,UBERON:0006088,ENSG00000116761
P32929,CTH,HPA RNA,inferior temporal gyrus,2.8,UBERON:0002751,ENSG00000116761
P32929,CTH,HPA RNA,intraparietal deep sulcus,2.9,UBERON:0002913,ENSG00000116761
P32929,CTH,HPA RNA,Kolliker-Fuse nucleus,2.6,UBERON:0002151,ENSG00000116761
P32929,CTH,HPA RNA,lateral amygdala,2.1,UBERON:0002886,ENSG00000116761
P32929,CTH,HPA RNA,lateral funiculus (white matter),2.4,UBERON:0002179,ENSG00000116761
P32929,CTH,HPA RNA,lateral geniculate body,2.4,UBERON:0001926,ENSG00000116761
P32929,CTH,HPA RNA,lateral hypothalamic area,3.1,UBERON:0002430,ENSG00000116761
P32929,CTH,HPA RNA,lateral lemniscal nuclei,2.4,UBERON:0006840,ENSG00000116761
P32929,CTH,HPA RNA,lateral medullary reticular nucleus,2.6,UBERON:0002154,ENSG00000116761
P32929,CTH,HPA RNA,lateral parabrachial nucleus,2.7,UBERON:0003007,ENSG00000116761
P32929,CTH,HPA RNA,lateral thalamic nuclei,2.6,UBERON:0002736,ENSG00000116761
P32929,CTH,HPA RNA,lateral vestibular nucleus,1.8,UBERON:0007230,ENSG00000116761
P32929,CTH,HPA RNA,lingual gyrus,3.0,UBERON:0002943,ENSG00000116761
P32929,CTH,HPA RNA,locus coeruleus,3.0,UBERON:0002148,ENSG00000116761
P32929,CTH,HPA RNA,mamillary body,3.0,UBERON:0002206,ENSG00000116761
P32929,CTH,HPA RNA,medial dorsal thalamic nucleus,2.5,UBERON:0002739,ENSG00000116761
P32929,CTH,HPA RNA,medial geniculate body,2.6,UBERON:0001927,ENSG00000116761
P32929,CTH,HPA RNA,medial olivary nucleus,2.5,UBERON:0002782,ENSG00000116761
P32929,CTH,HPA RNA,medial parabrachial nucleus,2.7,UBERON:0002918,ENSG00000116761
