molecule_chembl_id,M,N
CHEMBL1,1,3705
CHEMBL10,72,3705
CHEMBL100,1,3705
CHEMBL1000,1,3705
CHEMBL100003,2,3705
CHEMBL100004,3,3705
CHEMBL100010,1,3705
CHEMBL100013,1,3705
CHEMBL100017,1,3705
CHEMBL100020,1,3705
CHEMBL100029,1,3705
CHEMBL100035,1,3705
CHEMBL10004,1,3705
CHEMBL100045,6,3705
CHEMBL100052,3,3705
CHEMBL100057,2,3705
CHEMBL100059,1,3705
CHEMBL100063,1,3705
CHEMBL100065,1,3705
CHEMBL100067,1,3705
CHEMBL10007,2,3705
CHEMBL100071,1,3705
CHEMBL100075,3,3705
CHEMBL100076,1,3705
CHEMBL100077,1,3705
CHEMBL10008,1,3705
CHEMBL100081,4,3705
CHEMBL100086,4,3705
CHEMBL10009,12,3705
CHEMBL100091,1,3705
CHEMBL100092,1,3705
CHEMBL100095,2,3705
CHEMBL100100,5,3705
CHEMBL100103,1,3705
CHEMBL100104,2,3705
CHEMBL100109,2,3705
CHEMBL100111,1,3705
CHEMBL100114,4,3705
CHEMBL100119,1,3705
CHEMBL100120,1,3705
CHEMBL100121,1,3705
CHEMBL100124,2,3705
CHEMBL100128,1,3705
CHEMBL100134,4,3705
CHEMBL100138,1,3705
CHEMBL10014,1,3705
CHEMBL100140,2,3705
CHEMBL100141,1,3705
CHEMBL100146,4,3705
CHEMBL100147,2,3705
CHEMBL100149,1,3705
CHEMBL10015,1,3705
CHEMBL100154,1,3705
CHEMBL100156,1,3705
CHEMBL10016,2,3705
CHEMBL100163,2,3705
CHEMBL100165,2,3705
CHEMBL100172,1,3705
CHEMBL100174,1,3705
CHEMBL100176,1,3705
CHEMBL100178,1,3705
CHEMBL100180,1,3705
CHEMBL100181,1,3705
CHEMBL100184,1,3705
CHEMBL100187,2,3705
CHEMBL100188,1,3705
CHEMBL10019,2,3705
CHEMBL100191,1,3705
CHEMBL100195,3,3705
CHEMBL100198,3,3705
CHEMBL1002,5,3705
CHEMBL10020,1,3705
CHEMBL100203,2,3705
CHEMBL100205,1,3705
CHEMBL100209,1,3705
CHEMBL100213,1,3705
CHEMBL100219,1,3705
CHEMBL100220,1,3705
CHEMBL100226,2,3705
CHEMBL100231,2,3705
CHEMBL100232,1,3705
CHEMBL100234,1,3705
CHEMBL100239,1,3705
CHEMBL10024,1,3705
CHEMBL100240,1,3705
CHEMBL100250,1,3705
CHEMBL100256,1,3705
CHEMBL100258,2,3705
CHEMBL100259,2,3705
CHEMBL10026,1,3705
CHEMBL100260,1,3705
CHEMBL100262,1,3705
CHEMBL100266,3,3705
CHEMBL10027,1,3705
CHEMBL100273,4,3705
CHEMBL100280,4,3705
CHEMBL100282,1,3705
CHEMBL100295,1,3705
CHEMBL100296,1,3705
CHEMBL100297,1,3705
CHEMBL100298,1,3705
CHEMBL100309,2,3705
CHEMBL10031,1,3705
CHEMBL100312,1,3705
CHEMBL100316,2,3705
CHEMBL10032,1,3705
CHEMBL100320,2,3705
CHEMBL100329,3,3705
CHEMBL100331,1,3705
CHEMBL100333,1,3705
CHEMBL100334,2,3705
CHEMBL100335,1,3705
CHEMBL100336,1,3705
CHEMBL10034,1,3705
CHEMBL100346,2,3705
CHEMBL100347,1,3705
CHEMBL100348,2,3705
CHEMBL100349,1,3705
CHEMBL100351,3,3705
CHEMBL100357,1,3705
CHEMBL100358,2,3705
CHEMBL100366,2,3705
CHEMBL100370,1,3705
CHEMBL100377,1,3705
CHEMBL100379,1,3705
CHEMBL100382,3,3705
CHEMBL100383,1,3705
CHEMBL10039,1,3705
CHEMBL100391,2,3705
CHEMBL100392,1,3705
CHEMBL100395,1,3705
CHEMBL100402,1,3705
CHEMBL100403,1,3705
CHEMBL100405,4,3705
CHEMBL100409,4,3705
CHEMBL10041,1,3705
CHEMBL100413,1,3705
CHEMBL100414,1,3705
CHEMBL100415,1,3705
CHEMBL100421,1,3705
CHEMBL100422,1,3705
CHEMBL100426,3,3705
CHEMBL100428,3,3705
CHEMBL100429,1,3705
CHEMBL10043,2,3705
CHEMBL100434,2,3705
CHEMBL10044,1,3705
CHEMBL100440,1,3705
CHEMBL100441,1,3705
CHEMBL100447,2,3705
CHEMBL100448,1,3705
CHEMBL10045,1,3705
CHEMBL100454,3,3705
CHEMBL100456,3,3705
CHEMBL100458,1,3705
CHEMBL100459,1,3705
CHEMBL100461,2,3705
CHEMBL100463,2,3705
CHEMBL100473,7,3705
CHEMBL10048,2,3705
CHEMBL100480,2,3705
CHEMBL100481,1,3705
CHEMBL100482,4,3705
CHEMBL100483,1,3705
CHEMBL100484,2,3705
CHEMBL10050,4,3705
CHEMBL100502,2,3705
CHEMBL100503,1,3705
CHEMBL100506,1,3705
CHEMBL100508,1,3705
CHEMBL100509,2,3705
CHEMBL100510,2,3705
CHEMBL100512,4,3705
CHEMBL10052,1,3705
CHEMBL100523,1,3705
CHEMBL100533,1,3705
CHEMBL100538,1,3705
CHEMBL100539,1,3705
CHEMBL100540,1,3705
CHEMBL100542,1,3705
CHEMBL100546,1,3705
CHEMBL100548,2,3705
CHEMBL100549,1,3705
CHEMBL10055,1,3705
CHEMBL100551,2,3705
CHEMBL100559,4,3705
CHEMBL100560,1,3705
CHEMBL100563,3,3705
CHEMBL100564,4,3705
CHEMBL100566,1,3705
CHEMBL100569,1,3705
CHEMBL100570,3,3705
CHEMBL100572,2,3705
CHEMBL100574,2,3705
CHEMBL100575,1,3705
CHEMBL100578,1,3705
CHEMBL10058,1,3705
CHEMBL100580,2,3705
CHEMBL100584,5,3705
CHEMBL100586,1,3705
CHEMBL100588,4,3705
CHEMBL100589,3,3705
CHEMBL100591,4,3705
CHEMBL100595,2,3705
CHEMBL100596,1,3705
CHEMBL1006,2,3705
CHEMBL100604,1,3705
CHEMBL100605,1,3705
CHEMBL100609,1,3705
CHEMBL100617,2,3705
CHEMBL100618,2,3705
CHEMBL100619,1,3705
CHEMBL10062,1,3705
CHEMBL100620,1,3705
CHEMBL100621,1,3705
CHEMBL100622,2,3705
CHEMBL100623,3,3705
CHEMBL100626,2,3705
CHEMBL100634,1,3705
CHEMBL100635,1,3705
CHEMBL100636,1,3705
CHEMBL100643,5,3705
CHEMBL100645,1,3705
CHEMBL100646,3,3705
CHEMBL100647,1,3705
CHEMBL10065,1,3705
CHEMBL100651,1,3705
CHEMBL100652,1,3705
CHEMBL100656,1,3705
CHEMBL100659,1,3705
CHEMBL10066,1,3705
CHEMBL100661,1,3705
CHEMBL100666,2,3705
CHEMBL10067,1,3705
CHEMBL100671,1,3705
CHEMBL100672,2,3705
CHEMBL100675,1,3705
CHEMBL100678,1,3705
CHEMBL10068,1,3705
CHEMBL100685,2,3705
CHEMBL100691,1,3705
CHEMBL100694,1,3705
CHEMBL100697,1,3705
CHEMBL1007,3,3705
CHEMBL100700,1,3705
CHEMBL100702,2,3705
CHEMBL100703,1,3705
CHEMBL100709,1,3705
CHEMBL100712,2,3705
CHEMBL100714,4,3705
CHEMBL100715,1,3705
CHEMBL100717,1,3705
CHEMBL100718,1,3705
CHEMBL10072,1,3705
CHEMBL100721,1,3705
CHEMBL100722,1,3705
CHEMBL100724,1,3705
CHEMBL100727,1,3705
CHEMBL100729,3,3705
CHEMBL100732,2,3705
CHEMBL100733,3,3705
CHEMBL100735,1,3705
CHEMBL100736,1,3705
CHEMBL100739,1,3705
CHEMBL100741,1,3705
CHEMBL100748,3,3705
CHEMBL100749,2,3705
CHEMBL100751,2,3705
CHEMBL100754,3,3705
CHEMBL100755,1,3705
CHEMBL100757,3,3705
CHEMBL100760,3,3705
CHEMBL100761,1,3705
CHEMBL100762,1,3705
CHEMBL100763,2,3705
CHEMBL100764,1,3705
CHEMBL100765,1,3705
CHEMBL100769,2,3705
CHEMBL100773,1,3705
CHEMBL100774,2,3705
CHEMBL100775,1,3705
CHEMBL100776,2,3705
CHEMBL100777,4,3705
CHEMBL100779,2,3705
CHEMBL100780,1,3705
CHEMBL100788,4,3705
CHEMBL100789,2,3705
CHEMBL10079,2,3705
CHEMBL100790,1,3705
CHEMBL100795,1,3705
CHEMBL100799,1,3705
CHEMBL1008,5,3705
CHEMBL10080,1,3705
CHEMBL100800,1,3705
CHEMBL100801,1,3705
CHEMBL100802,4,3705
CHEMBL100804,1,3705
CHEMBL100805,5,3705
CHEMBL100811,1,3705
CHEMBL100814,1,3705
CHEMBL100818,2,3705
CHEMBL100819,1,3705
CHEMBL10082,1,3705
CHEMBL100820,1,3705
CHEMBL100825,1,3705
CHEMBL100826,1,3705
CHEMBL100827,1,3705
CHEMBL100830,1,3705
CHEMBL100831,1,3705
CHEMBL100832,1,3705
CHEMBL100835,1,3705
CHEMBL100842,1,3705
CHEMBL100848,2,3705
CHEMBL10085,12,3705
CHEMBL100852,1,3705
CHEMBL100854,1,3705
CHEMBL100860,3,3705
CHEMBL100862,1,3705
CHEMBL100872,1,3705
CHEMBL100873,2,3705
CHEMBL100875,2,3705
CHEMBL100876,2,3705
CHEMBL100878,3,3705
CHEMBL100879,3,3705
CHEMBL100883,1,3705
CHEMBL10089,1,3705
CHEMBL100890,1,3705
CHEMBL100893,2,3705
CHEMBL100895,1,3705
CHEMBL1009,8,3705
CHEMBL10090,1,3705
CHEMBL100906,3,3705
CHEMBL10091,1,3705
CHEMBL100911,2,3705
CHEMBL100912,1,3705
CHEMBL100913,1,3705
CHEMBL100914,1,3705
CHEMBL10092,2,3705
CHEMBL100924,2,3705
CHEMBL100927,2,3705
CHEMBL100928,1,3705
CHEMBL100929,1,3705
CHEMBL100933,4,3705
CHEMBL100935,1,3705
CHEMBL100936,1,3705
CHEMBL100937,1,3705
CHEMBL100938,3,3705
CHEMBL100940,1,3705
CHEMBL100941,2,3705
CHEMBL100945,1,3705
CHEMBL100946,1,3705
CHEMBL100947,1,3705
CHEMBL100949,1,3705
CHEMBL100950,4,3705
CHEMBL100952,1,3705
CHEMBL100954,2,3705
CHEMBL100958,1,3705
CHEMBL100965,1,3705
CHEMBL100966,1,3705
CHEMBL10097,1,3705
CHEMBL100970,2,3705
CHEMBL100972,1,3705
CHEMBL100979,2,3705
CHEMBL100986,1,3705
CHEMBL100989,2,3705
CHEMBL10099,2,3705
CHEMBL100993,1,3705
CHEMBL100994,1,3705
CHEMBL101,8,3705
CHEMBL1010,3,3705
CHEMBL101001,1,3705
CHEMBL101002,3,3705
CHEMBL101008,5,3705
CHEMBL101015,1,3705
CHEMBL101019,2,3705
