id,pathwayName,M
R-BTA-1059683,"Interleukin-6 signaling",2
R-BTA-109704,"PI3K Cascade",3
R-BTA-110312,"Translesion synthesis by REV1",4
R-BTA-110320,"Translesion Synthesis by POLH",5
R-BTA-110330,"Recognition and association of DNA glycosylase with site containing an affected purine",6
R-BTA-110331,"Cleavage of the damaged purine",6
R-BTA-111367,"SLBP independent Processing of Histone Pre-mRNAs",3
R-BTA-111446,"Activation of BIM and translocation to mitochondria",1
R-BTA-111447,"Activation of BAD and translocation to mitochondria",2
R-BTA-111457,"Release of apoptotic factors from the mitochondria",1
R-BTA-111957,"Cam-PDE 1 activation",1
R-BTA-112043,"PLC beta mediated events",2
R-BTA-112303,"Electric Transmission Across Gap Junctions",1
R-BTA-112311,"Neurotransmitter clearance",1
R-BTA-112399,"IRS-mediated signalling",2
R-BTA-113418,"Formation of the Early Elongation Complex",9
R-BTA-114604,"GPVI-mediated activation cascade",5
R-BTA-114608,"Platelet degranulation",21
R-BTA-1169408,"ISG15 antiviral mechanism",6
R-BTA-1170546,"Prolactin receptor signaling",2
R-BTA-1222556,"ROS and RNS production in phagocytes",9
R-BTA-1227986,"Signaling by ERBB2",1
R-BTA-1234176,"Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha",5
R-BTA-1236973,"Cross-presentation of particulate exogenous antigens (phagosomes)",1
R-BTA-1236974,"ER-Phagosome pathway",1
R-BTA-1236977,"Endosomal/Vacuolar pathway",1
R-BTA-1237044,"Erythrocytes take up carbon dioxide and release oxygen",4
R-BTA-1237112,"Methionine salvage pathway",2
R-BTA-1247673,"Erythrocytes take up oxygen and release carbon dioxide",4
R-BTA-1250196,"SHC1 events in ERBB2 signaling",1
R-BTA-1250342,"PI3K events in ERBB4 signaling",1
R-BTA-1250347,"SHC1 events in ERBB4 signaling",1
R-BTA-1251985,"Nuclear signaling by ERBB4",1
R-BTA-1253288,"Downregulation of ERBB4 signaling",2
R-BTA-1257604,"PIP3 activates AKT signaling",4
R-BTA-1266695,"Interleukin-7 signaling",2
R-BTA-1268020,"Mitochondrial protein import",2
R-BTA-1295596,"Spry regulation of FGF signaling",5
R-BTA-1296053,"Classical Kir channels",1
R-BTA-1296072,"Voltage gated Potassium channels",2
R-BTA-1299308,"Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK)",1
