Source Type,Source ID,Target Type,Target ID,Label
Protein,Q9NZK5,Protein,Q8N8D9,Interacts_With
Protein,O14981,Protein,Q9H1Y0,Interacts_With
Protein,Q5TID7,Protein,Q9ULH1,Interacts_With
Protein,Q9H1C7,Protein,Q9ULH1,Interacts_With
Protein,P0DP74,Protein,O43918,Interacts_With
Protein,Q14011,Protein,O95905,Interacts_With
Protein,A4FU69,Protein,P58397,Interacts_With
Protein,Q9HA90,Protein,Q9BT22,Interacts_With
Protein,O75530,Protein,O14734,Interacts_With
Protein,Q9Y4X0,Protein,P08574,Interacts_With
Protein,Q9H1M4,Protein,Q99618,Interacts_With
Protein,Q9H2X0,Protein,Q8N3I7,Interacts_With
Protein,Q15825,Protein,Q96LL3,Interacts_With
Protein,Q9NZK5,Protein,Q13155,Interacts_With
Protein,Q86XS5,Protein,P13584,Interacts_With
Protein,P20674,Protein,P58397,Interacts_With
Protein,Q9Y4D1,Protein,Q86XS5,Interacts_With
Protein,P54819,Protein,A5D8V7,Interacts_With
Protein,Q0P5N6,Protein,P0DMU8,Interacts_With
Protein,P08217,Protein,O43520,Interacts_With
Protein,Q8N687,Protein,Q5T655,Interacts_With
Protein,P30411,Protein,Q9NX63,Interacts_With
Protein,Q86TX2,Protein,Q5BKT4,Interacts_With
Protein,P35462,Protein,Q9NR09,Interacts_With
Protein,A7MBM2,Protein,O60676,Interacts_With
Protein,Q9P1A6,Protein,P19397,Interacts_With
Protein,Q8N4Q1,Protein,Q07065,Interacts_With
Protein,P00736,Protein,P02489,Interacts_With
Protein,Q8NHQ1,Protein,Q9HC77,Interacts_With
Protein,Q8TEH3,Protein,O60869,Interacts_With
Protein,P0DMU8,Protein,H3BN30,Interacts_With
Protein,Q86Y29,Protein,Q9HA90,Interacts_With
Protein,O95154,Protein,H3BN30,Interacts_With
Protein,Q9Y2F9,Protein,Q9Y240,Interacts_With
Protein,P13584,Protein,Q9NY25,Interacts_With
Protein,Q8N8D9,Protein,O43520,Interacts_With
Protein,Q9ULH1,Protein,P80723,Interacts_With
Protein,P58397,Protein,Q8NI51,Interacts_With
Protein,P13497,Protein,C9J202,Interacts_With
Protein,Q0P5N6,Protein,O95154,Interacts_With
Protein,Q96AP0,Protein,Q9H1C7,Interacts_With
Protein,Q8NHQ1,Protein,Q9NQR7,Interacts_With
Protein,Q15825,Protein,Q8IYT2,Interacts_With
Protein,Q6P387,Protein,Q68DC2,Interacts_With
Protein,Q99700,Protein,P0C2S0,Interacts_With
Protein,Q7RTS9,Protein,A6NJI1,Interacts_With
Protein,Q9UIJ7,Protein,Q6Y288,Interacts_With
Protein,O43707,Protein,O14514,Interacts_With
Protein,P16619,Protein,O14645,Interacts_With
Protein,Q86XJ0,Protein,Q9Y2Z9,Interacts_With
Protein,Q5VUE5,Protein,Q92771,Interacts_With
Protein,O14645,Protein,A2RUQ5,Interacts_With
Protein,Q9NQW6,Protein,A0A1W2PPF3,Interacts_With
Protein,Q8N687,Protein,Q8N4C9,Interacts_With
Protein,P09497,Protein,Q5BKT4,Interacts_With
Protein,Q9UMX3,Protein,Q9H069,Interacts_With
Protein,Q9Y2Z9,Protein,A5D8V7,Interacts_With
Protein,O43169,Protein,P20800,Interacts_With
Protein,P30411,Protein,O60832,Interacts_With
Protein,Q8N8D9,Protein,P09497,Interacts_With
Protein,Q9BT22,Protein,P0C864,Interacts_With
Protein,Q9P1F3,Protein,Q8IW93,Interacts_With
Protein,Q6ZU45,Protein,O43306,Interacts_With
Protein,P08319,Protein,P63172,Interacts_With
Protein,O75530,Protein,Q6ZU45,Interacts_With
Protein,Q9Y698,Protein,P55056,Interacts_With
Protein,Q96Q07,Protein,Q96GX9,Interacts_With
Protein,P52798,Protein,Q7Z569,Interacts_With
Protein,Q9H6F5,Protein,P49753,Interacts_With
Protein,Q9BPW4,Protein,O60676,Interacts_With
Protein,Q9UKV5,Protein,Q96M20,Interacts_With
Protein,Q9UII6,Protein,O43286,Interacts_With
Protein,P32320,Protein,Q6Y288,Interacts_With
Protein,Q6Q788,Protein,Q13155,Interacts_With
Protein,O96020,Protein,Q8N8D9,Interacts_With
Protein,Q12834,Protein,Q96AP0,Interacts_With
Protein,Q99700,Protein,Q9Y4D1,Interacts_With
Protein,Q9H1M4,Protein,Q68D51,Interacts_With
Protein,P51857,Protein,Q07507,Interacts_With
Protein,Q96B36,Protein,Q53S99,Interacts_With
Protein,A4FU69,Protein,Q9H3Q1,Interacts_With
Protein,Q9HA90,Protein,P54819,Interacts_With
Protein,Q8N687,Protein,Q14203,Interacts_With
Protein,P0DP74,Protein,Q9Y240,Interacts_With
Protein,Q96AZ1,Protein,Q9Y698,Interacts_With
Protein,P19961,Protein,Q9UNU6,Interacts_With
Protein,P29972,Protein,Q8NHS1,Interacts_With
Protein,A4FU69,Protein,Q96B36,Interacts_With
Protein,Q96PC3,Protein,Q7Z5M8,Interacts_With
Protein,Q7L190,Protein,Q9H2X0,Interacts_With
Protein,Q5SVJ3,Protein,Q5T655,Interacts_With
Protein,Q5TID7,Protein,Q68D51,Interacts_With
Protein,P25311,Protein,Q14746,Interacts_With
Protein,Q7Z5M8,Protein,Q2KHT3,Interacts_With
Protein,Q5VUE5,Protein,P47895,Interacts_With
Protein,H3BN30,Protein,Q7Z5M8,Interacts_With
Protein,Q7Z569,Protein,O95741,Interacts_With
Protein,P08319,Protein,Q5SVJ3,Interacts_With
Protein,A4FU69,Protein,Q86XJ0,Interacts_With
Protein,Q01523,Protein,P32320,Interacts_With
Protein,O75190,Protein,Q99996,Interacts_With
Protein,Q9H9Q2,Protein,Q96D53,Interacts_With
Protein,Q9H6F5,Protein,Q92771,Interacts_With
Protein,Q8IUR6,Protein,Q5W0N0,Interacts_With
Protein,P02458,Protein,Q9NWW5,Interacts_With
Protein,Q9NY35,Protein,Q53S99,Interacts_With
Protein,Q9Y698,Protein,O14734,Interacts_With
Protein,Q53S99,Protein,Q8WYN3,Interacts_With
Protein,P08574,Protein,Q9H069,Interacts_With
Protein,Q9H1C7,Protein,Q99996,Interacts_With
Protein,O43707,Protein,Q8N687,Interacts_With
Protein,Q9BPW4,Protein,P32320,Interacts_With
Protein,P10645,Protein,Q9BT22,Interacts_With
Protein,Q96P48,Protein,Q96GX9,Interacts_With
Protein,O43286,Protein,Q8N5N4,Interacts_With
Protein,P29400,Protein,P20800,Interacts_With
Protein,Q08462,Protein,Q8IYT2,Interacts_With
