Source Type,Source ID,Target Type,Target ID,Label
Protein,O96020,Protein,A6NHY2,Interacts_With
Protein,Q9Y4X3,Protein,Q9HC77,Interacts_With
Protein,Q99715,Protein,Q6Y288,Interacts_With
Protein,Q99700,Protein,Q5T9A4,Interacts_With
Protein,Q96D53,Protein,Q8NHQ1,Interacts_With
Protein,Q9UHD4,Protein,Q8TEY5,Interacts_With
Protein,Q96M20,Protein,Q5T655,Interacts_With
Protein,A0A1W2PPF3,Protein,D6RIA3,Interacts_With
Protein,P30411,Protein,P19397,Interacts_With
Protein,Q504U0,Protein,P84085,Interacts_With
Protein,Q6P387,Protein,O95154,Interacts_With
Protein,Q9UIJ7,Protein,Q8N5C7,Interacts_With
Protein,Q8TEB1,Protein,Q8WUY9,Interacts_With
Protein,P00736,Protein,A4FU69,Interacts_With
Protein,Q99700,Protein,P27708,Interacts_With
Protein,Q4KMG0,Protein,Q9UKV5,Interacts_With
Protein,P0C2S0,Protein,Q8WUY9,Interacts_With
Protein,A5D8V7,Protein,Q99715,Interacts_With
Protein,O43169,Protein,P13942,Interacts_With
Protein,Q6Q788,Protein,P35462,Interacts_With
Protein,Q9H6F5,Protein,Q6RFH8,Interacts_With
Protein,Q9H1Y0,Protein,O14981,Interacts_With
Protein,Q9H816,Protein,Q9NP61,Interacts_With
Protein,A5D8V7,Protein,Q9Y2Z9,Interacts_With
Protein,P84085,Protein,P55285,Interacts_With
Protein,A0A1W2PPF3,Protein,P27708,Interacts_With
Protein,Q9Y258,Protein,P16619,Interacts_With
Protein,Q9NX63,Protein,Q15825,Interacts_With
Protein,Q5TID7,Protein,P62952,Interacts_With
Protein,Q9UHG0,Protein,P35523,Interacts_With
Protein,Q9H1Y0,Protein,P20800,Interacts_With
Protein,P55056,Protein,Q6Y288,Interacts_With
Protein,P20800,Protein,Q8N5N4,Interacts_With
Protein,Q8WUY9,Protein,P04053,Interacts_With
Protein,P32320,Protein,P13942,Interacts_With
Protein,Q86XJ0,Protein,P15882,Interacts_With
Protein,P55285,Protein,O60676,Interacts_With
Protein,O00244,Protein,O14514,Interacts_With
Protein,Q8WV16,Protein,Q9UJU6,Interacts_With
Protein,O43707,Protein,Q5T9A4,Interacts_With
Protein,Q14746,Protein,Q9NR09,Interacts_With
Protein,Q5VUE5,Protein,Q9NY35,Interacts_With
Protein,P08217,Protein,P42830,Interacts_With
Protein,P78556,Protein,Q9H0L4,Interacts_With
Protein,O43169,Protein,Q9UJU6,Interacts_With
Protein,Q8IWQ3,Protein,P29972,Interacts_With
Protein,A6NJI1,Protein,Q8N687,Interacts_With
Protein,O95741,Protein,Q96Q07,Interacts_With
Protein,Q8NCG5,Protein,Q14012,Interacts_With
Protein,P00736,Protein,Q8NHS1,Interacts_With
Protein,Q01094,Protein,Q8N4C9,Interacts_With
Protein,Q86XS5,Protein,Q8N1L4,Interacts_With
Protein,Q8WUY9,Protein,Q9BY08,Interacts_With
Protein,Q9NR09,Protein,Q8N5C7,Interacts_With
Protein,Q9H6F5,Protein,O60869,Interacts_With
Protein,Q8TEH3,Protein,P19099,Interacts_With
Protein,Q01094,Protein,O75027,Interacts_With
Protein,P13497,Protein,P02489,Interacts_With
Protein,Q9NX63,Protein,P48061,Interacts_With
Protein,O95376,Protein,P0C864,Interacts_With
Protein,O95376,Protein,P04745,Interacts_With
Protein,Q14154,Protein,P0C864,Interacts_With
Protein,Q9Y2A9,Protein,P32320,Interacts_With
Protein,O15120,Protein,Q8N4C9,Interacts_With
Protein,O15194,Protein,Q9Y2A9,Interacts_With
Protein,Q9NX63,Protein,Q6ZUS6,Interacts_With
Protein,Q6Q788,Protein,O14514,Interacts_With
Protein,Q9UFH2,Protein,Q9H0L4,Interacts_With
Protein,Q96A70,Protein,Q5TID7,Interacts_With
Protein,Q96BT3,Protein,Q96IT6,Interacts_With
Protein,O15194,Protein,Q9UEE9,Interacts_With
Protein,Q86Y29,Protein,Q9Y2F9,Interacts_With
Protein,Q8IUR6,Protein,Q5TID7,Interacts_With
Protein,Q9Y4X0,Protein,O15263,Interacts_With
Protein,Q969J3,Protein,Q8NHQ1,Interacts_With
Protein,Q8WYQ3,Protein,Q8NBA8,Interacts_With
Protein,O14981,Protein,Q5H9J7,Interacts_With
Protein,Q96NF6,Protein,Q7Z569,Interacts_With
Protein,Q8IZP9,Protein,H3BN30,Interacts_With
Protein,Q9Y2F9,Protein,O75348,Interacts_With
Protein,P54252,Protein,Q15825,Interacts_With
Protein,O95741,Protein,P10515,Interacts_With
Protein,A6NC57,Protein,Q8IW93,Interacts_With
Protein,Q9UNU6,Protein,P04745,Interacts_With
Protein,C9J069,Protein,P26196,Interacts_With
Protein,Q96BT3,Protein,P54819,Interacts_With
Protein,Q8TEH3,Protein,O14559,Interacts_With
Protein,Q9BZB8,Protein,P29972,Interacts_With
Protein,O95154,Protein,H7C241,Interacts_With
Protein,Q8N3I7,Protein,A4FU69,Interacts_With
Protein,O14514,Protein,Q9H069,Interacts_With
Protein,Q8N3I7,Protein,O95741,Interacts_With
Protein,Q4VCS5,Protein,Q9Y294,Interacts_With
Protein,O75530,Protein,P80723,Interacts_With
Protein,Q9Y698,Protein,Q9NZ63,Interacts_With
Protein,O15263,Protein,P0C2S0,Interacts_With
Protein,P15882,Protein,Q01094,Interacts_With
Protein,Q01094,Protein,P30411,Interacts_With
Protein,P48061,Protein,Q5T9A4,Interacts_With
Protein,P52798,Protein,Q9UFH2,Interacts_With
Protein,P30411,Protein,Q9H2X0,Interacts_With
Protein,Q8WUY9,Protein,P09497,Interacts_With
Protein,Q9UNU6,Protein,Q8N4Q1,Interacts_With
Protein,A7MBM2,Protein,Q5SVJ3,Interacts_With
Protein,O43572,Protein,Q9UJU6,Interacts_With
Protein,A7MBM2,Protein,Q96IT6,Interacts_With
Protein,P0DMC3,Protein,Q8N5N4,Interacts_With
Protein,Q9NQW6,Protein,Q9Y240,Interacts_With
Protein,Q9H0L4,Protein,O60676,Interacts_With
Protein,P01133,Protein,O14559,Interacts_With
Protein,P07307,Protein,Q8NI51,Interacts_With
Protein,Q9Y4X0,Protein,Q07065,Interacts_With
Protein,P15882,Protein,Q6RI45,Interacts_With
Protein,Q86XS5,Protein,O95886,Interacts_With
Protein,Q13155,Protein,P53621,Interacts_With
Protein,Q86TX2,Protein,Q5VU57,Interacts_With
Protein,Q8WUY9,Protein,P08217,Interacts_With
Protein,Q2KHT3,Protein,Q96M20,Interacts_With
Protein,Q5T655,Protein,O94805,Interacts_With
Protein,O94805,Protein,Q9HC77,Interacts_With
Protein,Q9HBK9,Protein,P63172,Interacts_With
Protein,P29972,Protein,Q99618,Interacts_With
Protein,P19099,Protein,Q9Y4X3,Interacts_With
Protein,Q8NC06,Protein,Q96PC3,Interacts_With
Protein,Q96A70,Protein,O95905,Interacts_With
