Type,Source Database,ID,Name
Gene,UniprotKB,CDC37L1,
Gene,UniprotKB,CDA,
Gene,UniprotKB,CHCHD10,
Gene,UniprotKB,ALG1L2,
Gene,UniprotKB,ACTR3C,
Gene,UniprotKB,C1QTNF2,
Gene,UniprotKB,CRABP2,
Gene,UniprotKB,DDX6,
Gene,UniprotKB,BIRC6,
Gene,UniprotKB,CRTC3,
Gene,UniprotKB,BTBD9,
Gene,UniprotKB,CTCFL,
Gene,UniprotKB,C5orf56,
Gene,UniprotKB,AGPAT2,
Gene,UniprotKB,EED,
Gene,UniprotKB,DNAJB13,
Gene,UniprotKB,CKMT2,
Gene,UniprotKB,ARTN,
Gene,UniprotKB,DEFB125,
Gene,UniprotKB,CD53,
Gene,UniprotKB,C1orf105,
Gene,UniprotKB,ANLN,
Gene,UniprotKB,CLEC5A,
Gene,UniprotKB,CMTR2,
Gene,UniprotKB,C16orf46,
Gene,UniprotKB,AMY1A,
Gene,UniprotKB,CELA2A,
Gene,UniprotKB,AKAP9,
Gene,UniprotKB,DYNLL1,
Gene,UniprotKB,DEFB130A,
Gene,UniprotKB,COQ6,
Gene,UniprotKB,CEP70,
Gene,UniprotKB,ANKS6,
Gene,UniprotKB,C1QTNF7,
Gene,UniprotKB,DRC3,
Gene,UniprotKB,CLEC16A,
Gene,UniprotKB,AMOT,
Gene,UniprotKB,ANKRD62,
Gene,UniprotKB,CLEC20A,
Gene,UniprotKB,CNBD2,
Gene,UniprotKB,ANGPTL5,
Gene,UniprotKB,ATP6V1G1,
Gene,UniprotKB,APOA5,
Gene,UniprotKB,ASAP2,
Gene,UniprotKB,C2CD4D,
Gene,UniprotKB,BRWD3,
Gene,UniprotKB,DLAT,
Gene,UniprotKB,CHGA,
Gene,UniprotKB,AGBL4,
Gene,UniprotKB,CCL20,
Gene,UniprotKB,CSRNP3,
Gene,UniprotKB,BCS1L,
Gene,UniprotKB,CUL9,
Gene,UniprotKB,APIP,
Gene,UniprotKB,DYNLT1,
Gene,UniprotKB,CD300A,
Gene,UniprotKB,B3GLCT,
Gene,UniprotKB,CCDC151,
Gene,UniprotKB,CCL27,
Gene,UniprotKB,BMP1,
Gene,UniprotKB,DEFA5,
Gene,UniprotKB,CCNE2,
Gene,UniprotKB,CDH15,
Gene,UniprotKB,AZIN2,
Gene,UniprotKB,C9orf57,
Gene,UniprotKB,DNAJB6,
Gene,UniprotKB,C8orf49,
Gene,UniprotKB,ADH4,
Gene,UniprotKB,CFAP20,
Gene,UniprotKB,AKT1S1,
Gene,UniprotKB,COPS7B,
Gene,UniprotKB,CELF6,
Gene,UniprotKB,ECSCR,
Gene,UniprotKB,CDC20,
Gene,UniprotKB,CLTB,
Gene,UniprotKB,AQP1,
Gene,UniprotKB,AK3,
Gene,UniprotKB,CHIC2,
Gene,UniprotKB,CLDND2,
Gene,UniprotKB,DLGAP2,
Gene,UniprotKB,ADA2,
Gene,UniprotKB,ACBD4,
Gene,UniprotKB,APELA,
Gene,UniprotKB,AJM1,
Gene,UniprotKB,BORCS5,
Gene,UniprotKB,C1orf100,
Gene,UniprotKB,APOL4,
Gene,UniprotKB,DENND1A,
Gene,UniprotKB,CYP4Z2P,
Gene,UniprotKB,C16orf92,
Gene,UniprotKB,ADCY2,
Gene,UniprotKB,ATP8B1,
Gene,UniprotKB,CCDC86,
Gene,UniprotKB,DRD3,
Gene,UniprotKB,BBS5,
Gene,UniprotKB,B3GNT3,
Gene,UniprotKB,DEFB4A,
Gene,UniprotKB,CENPJ,
Gene,UniprotKB,AKAP10,
Gene,UniprotKB,AMY2B,
Gene,UniprotKB,CLDN34,
Gene,UniprotKB,DUX4L9,
Gene,UniprotKB,CYSTM1,
Gene,UniprotKB,DYM,
Gene,UniprotKB,CD226,
Gene,UniprotKB,ACOT2,
Gene,UniprotKB,CDX1,
Gene,UniprotKB,AZGP1,
Gene,UniprotKB,C4orf46,
Gene,UniprotKB,ACTN4,
Gene,UniprotKB,ASAP1,
Gene,UniprotKB,DLGAP3,
Gene,UniprotKB,CLDND1,
Gene,UniprotKB,CAMK1,
Gene,UniprotKB,ANKDD1B,
Gene,UniprotKB,C3orf22,
Gene,UniprotKB,CREBRF,
Gene,UniprotKB,DENND2C,
Gene,UniprotKB,CCL26,
Gene,UniprotKB,DENND2A,
Gene,UniprotKB,APOC4,
Gene,UniprotKB,ALDH1A3,
Gene,UniprotKB,COL27A1,
Gene,UniprotKB,ADAMTS12,
Gene,UniprotKB,COQ8B,
Gene,UniprotKB,DCLRE1B,
Gene,UniprotKB,DCAF11,
Gene,UniprotKB,EGF,
Gene,UniprotKB,DDX47,
Gene,UniprotKB,BRSK2,
Gene,UniprotKB,EFCC1,
Gene,UniprotKB,BASP1,
Gene,UniprotKB,BRAP,
